Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
proposition de loi relative à la prévention et à la lutte contre les atteintes graves à la sécurité publique, contre le terrorisme et contre la fraude dans les transports publics de voyageurs;proposition de loi;07/10/2015;http://www.senat.fr/dossier-legislatif/ppl15-281.html;promulgué;;;22/03/2016;2016-339;Police et sécurité, Transports
projet de loi relatif aux réseaux des chambres de commerce et d'industrie et des chambres de métiers et de l'artisanat;projet de loi;25/11/2015;http://www.senat.fr/dossier-legislatif/pjl15-252.html;promulgué;;;14/03/2016;2016-298;Économie et finances, fiscalité
proposition de loi relative à la protection de l'enfant;proposition de loi;11/09/2014;http://www.senat.fr/dossier-legislatif/ppl13-799.html;promulgué;;;14/03/2016;2016-297;Famille, Questions sociales et santé
projet de loi relatif au droit des étrangers en France;projet de loi;23/07/2014;http://www.senat.fr/dossier-legislatif/pjl14-655.html;promulgué;partiellement conforme;03/03/2016;07/03/2016;2016-274;Police et sécurité, Société
projet de loi autorisant l'approbation de la convention avec la République de Singapour en vue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôts sur le revenu;projet de loi;21/10/2015;http://www.senat.fr/dossier-legislatif/pjl15-249.html;promulgué;;;01/03/2016;2016-233;Affaires étrangères et coopération, Économie et finances, fiscalité, Traités et conventions
projet de loi autorisant l'approbation de l'accord avec le Conseil fédéral suisse en vue d'éliminer les doubles impositions en matière d'impôts sur le revenu et sur la fortune et de prévenir la fraude et l'évasion fiscales;projet de loi;01/07/2015;http://www.senat.fr/dossier-legislatif/pjl15-251.html;promulgué;;;01/03/2016;2016-232;Affaires étrangères et coopération, Économie et finances, fiscalité, Traités et conventions
proposition de loi d'expérimentation territoriale visant à faire disparaître le chômage de longue durée;proposition de loi;22/07/2015;http://www.senat.fr/dossier-legislatif/ppl15-246.html;promulgué;;;29/02/2016;2016-231;Société, Travail
projet de loi prorogeant l'application de la loi n° 55-385 du 3 avril 1955 relative à l'état d'urgence;projet de loi;03/02/2016;http://www.senat.fr/dossier-legislatif/pjl15-356.html;promulgué;;;19/02/2016;2016-162;Défense, Justice, Police et sécurité, Pouvoirs publics et Constitution
proposition de loi relative à la lutte contre le gaspillage alimentaire;proposition de loi;15/09/2015;http://www.senat.fr/dossier-legislatif/ppl15-245.html;promulgué;;;11/02/2016;2016-138;Environnement, Société
projet de loi portant application du protocole additionnel à l'accord entre la France, la Communauté européenne de l'énergie atomique et l'Agence internationale de l'énergie atomique relatif à l'application de garanties en France;projet de loi;27/04/2005;http://www.senat.fr/dossier-legislatif/pjl06-328.html;promulgué;;;05/02/2016;2016-113;Affaires étrangères et coopération
projet de loi accord avec le Gouvernement des États-Unis d'Amérique relatif au renforcement de la coopération en matière d'enquêtes judiciaires en vue de prévenir et de lutter contre la criminalité grave et le terrorisme;projet de loi;22/10/2014;http://www.senat.fr/dossier-legislatif/pjl14-048.html;promulgué;;;05/02/2016;2016-114;Affaires étrangères et coopération, Police et sécurité
proposition de loi créant de nouveaux droits en faveur des malades et des personnes en fin de vie;proposition de loi;21/01/2015;http://www.senat.fr/dossier-legislatif/ppl14-348.html;promulgué;;;02/02/2016;2016-87;Questions sociales et santé, Société
projet de loi de modernisation de notre système de santé;projet de loi;15/10/2014;http://www.senat.fr/dossier-legislatif/pjl14-406.html;promulgué;partiellement conforme;21/01/2016;26/01/2016;2016-41;Questions sociales et santé, Sécurité sociale, Société
projet de loi de finances pour 2016;projet de loi de finances;30/09/2015;http://www.senat.fr/dossier-legislatif/pjlf2016.html;promulgué;partiellement conforme;29/12/2015;29/12/2015;2015-1785;Budget, Économie et finances, fiscalité
projet de loi de finances rectificative pour 2015;projet de loi de finances rectificative;13/11/2015;http://www.senat.fr/dossier-legislatif/pjl15-227.html;promulgué;partiellement conforme;29/12/2015;29/12/2015;2015-1786;Budget, Économie et finances, fiscalité
projet de loi relatif à l'adaptation de la société au vieillissement;projet de loi;03/06/2014;http://www.senat.fr/dossier-legislatif/pjl13-804.html;promulgué;;;28/12/2015;2015-1776;Questions sociales et santé, Société
projet de loi autorisant l'approbation de l'accord multilatéral entre autorités compétentes concernant l'échange automatique de renseignements relatifs aux comptes financiers;projet de loi;22/07/2015;http://www.senat.fr/dossier-legislatif/pjl14-651.html;promulgué;;;28/12/2015;2015-1778;Affaires étrangères et coopération, Économie et finances, fiscalité, Traités et conventions
projet de loi autorisant la ratification de l'accord commercial entre l'Union européenne et ses États membres, d'une part, et la Colombie et le Pérou, d'autre part;projet de loi;15/04/2015;http://www.senat.fr/dossier-legislatif/pjl14-692.html;promulgué;;;28/12/2015;2015-1777;Affaires étrangères et coopération, Économie et finances, fiscalité, Traités et conventions
projet de loi relatif à la gratuité et aux modalités de la réutilisation des informations du secteur public;projet de loi;31/07/2015;http://www.senat.fr/dossier-legislatif/pjl15-034.html;promulgué;;;28/12/2015;2015-1779;Pouvoirs publics et Constitution, Société
projet de loi autorisant la ratification du protocole n° 15 portant amendement à la convention de sauvegarde des Droits de l'Homme et des Libertés fondamentales;projet de loi;02/07/2014;http://www.senat.fr/dossier-legislatif/pjl13-675.html;promulgué;;;22/12/2015;2015-1714;Affaires étrangères et coopération, Justice, Traités et conventions
