Session;Numéro de texte;Date de dépôt;Auteurs;Titre;Type de dossier;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
1977;244;"14/01/1978";"Marie-Thérèse GOUTMANN, Rolande PERLICAN, Pierre GAMBOA, Marcel GARGAR, Hector VIRON";"proposition de loi tendant à instaurer pour la femme la promotion, l'égalité, la liberté dans le travail,  la famille, la société";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-244.html";"caduc";"";"";"";"";"Société"
1977;245;"14/01/1978";"Serge BOUCHENY, Rolande PERLICAN, Pierre GAMBOA, Marcel GARGAR, Hector VIRON";"proposition de loi tendant à étendre au personnel porteur du service municipal de Paris les dispositions de la loi n° 75-931 du 14 octobre 1975 accordant au corps des identificateurs de l'Institut médico-légal des avantages spéciaux pour l'ouverture du droit à pension";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-245.html";"caduc";"";"";"";"";"Collectivités territoriales"
1977;246;"14/01/1978";"Fernand LEFORT, Fernand CHATELAIN, Léon DAVID, Jacques EBERHARD, Gérard EHLERS, Léandre LETOQUART";"proposition de loi tendant à la création des syndicats de copropriété (en location-attribution, en vente à terme)";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-246.html";"caduc";"";"";"";"";"Logement et urbanisme"
1977;247;"14/01/1978";"Marcel ROSETTE, Camille VALLIN, Jean OOGHE, Paul JARGOT";"proposition de loi tendant à permettre aux communes de voter des indemnités de fonction aux conseillers municipaux autres que le maire et les adjoints";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-247.html";"caduc";"";"";"";"";"Collectivités territoriales, Pouvoirs publics et Constitution"
1977;248;"14/01/1978";"Charles LEDERMAN, Jean OOGHE, Marcel ROSETTE";"proposition de loi tendant à garantir et à renforcer les droits des expropriés";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-248.html";"caduc";"";"";"";"";"Justice, Logement et urbanisme, Pouvoirs publics et Constitution"
1977;252;"31/01/1978";"Henri GOETSCHY, CHARLES ZWICKERT, Pierre SCHIELE";"proposition de loi relative à l'intégration dans la fonction publique de certaines catégories de personnels en fonction auprès des écoles nationales supérieures d'ingénieurs de Mulhouse";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-252.html";"caduc";"";"";"";"";"Fonction publique, Travail"
1977;260;"08/02/1978";"André FOSSET, Adolphe CHAUVIN, Brigitte GROS, Jacques GENTON, Roger LISE";"proposition de loi constitutionnelle tendant à modifier l'article 48 de la Constitution";"proposition de loi constitutionnelle";"http://www.senat.fr/dossier-legislatif/ppl77-260.html";"caduc";"";"";"";"";"Pouvoirs publics et Constitution"
1977;261;"08/02/1978";"Henri CAILLAVET";"proposition de loi tendant à abroger l'alinéa 2 de l'article 330, et l'alinéa 3 de l'article 331 du Code pénal";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-261.html";"caduc";"";"";"";"";"Justice"
1977;265;"10/02/1978";"Jean-Marie BOULOUX, Jacques DESCOURS DESACRES, Rémi HERMENT, Jacques COUDERT, Paul MALASSAGNE, André RABINEAU, Pierre BOUNEAU, René TOUZET";"proposition de loi organique tendant à compléter l'article 7 de l'ordonnance n° 58-1360 du 29 décembre 1958 portant loi organique relative au Conseil économique et social";"proposition de loi organique";"http://www.senat.fr/dossier-legislatif/ppl77-265.html";"Première lecture (AN)";"";"";"";"";"Anciens combattants, Pouvoirs publics et Constitution"
1977;266;"13/02/1978";"Brigitte GROS";"proposition de loi tendant à accorder aux salariés membres d'un conseil municipal le temps nécessaire à l'exercice de leur mandat";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-266.html";"caduc";"";"";"";"";"Collectivités territoriales"
